buffer,resolution,realised_deg,signal,n_cells,freq,variant,period,lag,lag_kind,n,block,r,p_naive,n_eff_first,p_eff_first,n_eff_nw,p_eff_nw,boot_lo,boot_hi,p_perm,p_fdr,fdr_reject,verdict
0.1,0.15,0.1637,footprint,39,ME,level,12,0,lag0,90,4,-0.2294,0.0296300443030379,64.8,0.06650467763589547,61.7,0.07359952574576414,-0.4874,0.0292,0.08758248350329934,0.9961690201642212,False,fragile (naive-only)
0.1,0.15,0.1637,footprint,39,ME,level,12,-5,peak,85,4,-0.3281,0.002170547955284568,60.9,0.009903262843466074,58.1,0.01184709640749781,-0.5314,-0.0831,0.011797640471905619,0.1959608078384323,False,fragile (naive-only)
0.1,0.15,0.1637,footprint,39,ME,intensity-model,12,0,lag0,90,4,0.0002,0.9985882230712927,74.5,0.9987189225155337,71.6,0.998745322408508,-0.2624,0.2331,0.9988002399520096,0.9988002399520096,False,ns
0.1,0.15,0.1637,footprint,39,ME,intensity-model,12,6,peak,84,4,0.2331,0.03284062240895526,71.0,0.050454021587463455,68.4,0.05504302382252795,-0.1506,0.4975,0.09718056388722256,0.2591481703659268,False,fragile (naive-only)
0.1,0.15,0.1637,footprint,39,ME,yoy,12,0,lag0,78,4,-0.0275,0.8114058802255071,64.3,0.8290555915728903,59.3,0.8361043575207958,-0.3806,0.2915,0.8658268346330734,0.9961690201642212,False,ns
0.1,0.15,0.1637,footprint,39,ME,yoy,12,6,peak,72,4,0.2642,0.024921564310323545,58.7,0.043709935101560904,54.7,0.052035788993638574,-0.1507,0.4896,0.13437312537492502,0.26564384092878396,False,fragile (naive-only)
0.1,0.15,0.1637,footprint,39,ME,stl,12,0,lag0,90,4,-0.0841,0.43075523524226783,80.1,0.4581494647953011,73.5,0.47799023329179213,-0.3857,0.181,0.5836832633473306,0.9961690201642212,False,ns
0.1,0.15,0.1637,footprint,39,ME,stl,12,6,peak,84,4,0.2215,0.04291301600846278,74.9,0.05629871585576127,68.6,0.06821501426974953,-0.2253,0.5026,0.1299740051989602,0.26564384092878396,False,fragile (naive-only)
0.1,0.25,0.2728,footprint,12,W,level,52,0,lag0,377,7,0.0303,0.5570688052056081,310.0,0.5946485357626528,291.7,0.6058342200258154,-0.0779,0.1243,0.615876824635073,0.9961690201642212,False,ns
0.1,0.25,0.2728,footprint,12,W,level,52,1,peak,376,7,0.0444,0.3908622437448594,309.3,0.43677136100214475,291.2,0.4506446125958642,-0.063,0.1381,0.46130773845230955,0.5788959855087806,False,ns
0.1,0.25,0.2728,footprint,12,W,intensity-model,52,0,lag0,377,7,0.0258,0.6174289770969247,310.0,0.6508035423229904,291.7,0.6606818671956871,-0.0826,0.1204,0.6716656668666267,0.9961690201642212,False,ns
0.1,0.25,0.2728,footprint,12,W,intensity-model,52,1,peak,376,7,0.0399,0.44085281288043726,309.3,0.4848377786499941,291.2,0.49802590292799914,-0.0683,0.1343,0.5132973405318936,0.5889067800474992,False,ns
0.1,0.25,0.2728,footprint,12,W,yoy,52,0,lag0,325,7,-0.0259,0.6419030273246643,217.2,0.7043692918245592,218.5,0.7035211001724054,-0.1809,0.1289,0.7032593481303739,0.9961690201642212,False,ns
0.1,0.25,0.2728,footprint,12,W,yoy,52,-1,peak,324,7,-0.0429,0.44203876626069777,212.4,0.5345298323265196,216.5,0.530483884434351,-0.2079,0.1192,0.49870025994801037,0.5889067800474992,False,ns
